City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kyra,RU,46.81,overcast clouds,49.5776,111.9753,
28,Thompson,CA,46.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
41,Mar Del Plata,AR,48.99,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
70,Rocha,UY,48.43,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
94,Chapais,CA,49.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
122,Krasnyy Chikoy,RU,46.53,overcast clouds,50.3643,108.7512,Persona
146,Chuy,UY,48.09,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
148,Qaqortoq,GL,45.1,scattered clouds,60.7167,-46.0333,Hotel Qaqortoq
196,Kodiak,US,46.45,scattered clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
213,Rognan,NO,48.34,light rain,67.0953,15.3878,Rognan Hotell
214,Valparaiso,CL,49.64,clear sky,-33.0393,-71.6273,Hotel Ultramar
215,Polyarnyy,RU,45.07,overcast clouds,69.1989,33.4478,Hotel Tatyana
228,Bijar,IR,45.01,clear sky,35.8668,47.6051,رنگ فروشي جواهري
236,Lebu,CL,49.8,clear sky,-37.6167,-73.65,Hostal Las Lilas
261,Nikolskoye,RU,47.39,clear sky,59.7035,30.7861,Tourist House - Sablino
294,Port Hardy,CA,48.2,scattered clouds,50.6996,-127.4199,Airport Inn
316,Kargil,IN,46.8,clear sky,34.5667,76.1,Caravan Sarai
327,Petropavlovsk-Kamchatskiy,RU,46.99,scattered clouds,53.0452,158.6483,The Hotel Petropavlovsky
332,Ancud,CL,45.93,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
337,Khani,GE,45.97,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
350,Sitka,US,48.09,overcast clouds,57.0531,-135.33,Westmark Sitka
360,Brae,GB,49.91,overcast clouds,60.3964,-1.3530000000000002,Busta House Hotel
374,Mezen,RU,46.67,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
390,Ostrovnoy,RU,46.58,overcast clouds,68.0531,39.5131,
420,Prince Rupert,CA,47.89,clear sky,54.3161,-130.3201,Crest Hotel
428,Panjab,AF,48.29,clear sky,34.388000000000005,67.0233,
430,Severo-Kurilsk,RU,47.14,scattered clouds,50.6789,156.125,Kak Doma
441,Arkhara,RU,48.58,overcast clouds,49.4212,130.0842,"Gostinitsa ""Arkhara"""
458,Lautaro,CL,49.98,clear sky,-38.5167,-72.45,Hostal Del Sur
463,Grindavik,IS,48.15,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
